index,error
0,5.405491768235457
1,5.464990526995396
2,5.414153615588342
3,5.405491768235457
4,5.405491768235457
5,5.409024772716097
6,5.405491768235457
7,5.405491768235457
8,5.406520616923055
9,5.405491768235457
10,5.4393000075322675
11,5.405491768235457
12,5.477028491490561
13,5.414324723408583
14,5.405491768235457
15,5.405491768235457
16,5.406467827126042
17,5.405491768235457
18,5.405491768235457
19,5.405651395417989
20,5.405491768235457
21,5.4158471945418025
22,5.405491768235457
23,5.45802404039298
24,5.414721302936213
25,5.405491768235457
26,5.405491768235457
27,5.406056889154579
28,5.405491768235457
29,5.405491768235457
30,5.405560736573172
31,5.405491768235457
32,5.411947285844903
33,5.405491768235457
34,5.455788854150535
35,5.4155171694897835
36,5.405490709411928
37,5.405494806419567
38,5.4057059848269935
39,5.405490709411928
40,5.405492792487367
41,5.405638986912819
42,5.405491768235457
43,5.410617191552423
44,5.4054856511274405
45,5.432462007190065
46,5.416651234235168
47,5.4055929775879115
48,5.40561158172844
49,5.40560829067422
50,5.4052005938043965
51,5.405574841694219
52,5.405568000538485
53,5.405358394583498
54,5.409047270519875
55,5.403290412230943
56,5.438792836337887
57,5.417202574043801
58,5.405494314192268
59,5.405609098463961
60,5.405628561190886
61,5.40530751012795
62,5.405490030963476
63,5.4054953176943545
64,5.405490911589698
65,5.409441952775955
66,5.403455511176301
67,5.580867220061911
68,5.410948089131342
69,5.403574216302362
70,5.405636072719133
71,5.409827484853252
72,5.405418210338993
73,5.4083345665638936
74,5.40581696559355
75,5.403597209893831
76,5.444158764612521
77,5.396879549337539
78,5.240338059177402
79,5.069914381033827
80,5.333795543117098
81,5.34464472116623
82,5.346448749707925
83,5.36737761605003
84,5.35315372201572
85,5.3558494251045525
86,5.387902920017174
87,5.393706254644721
88,5.377137371026332
89,5.376573592694105
90,5.375912603824148
91,5.375674119389631
92,5.375533167142737
93,5.374861803849508
94,5.373903514783627
95,5.374864615289987
96,5.375173124948111
97,5.374424711585943
98,5.374535936303749
99,5.373891952633096
100,5.373538182236334
101,5.3726936381207135
102,5.3722371760220184
103,5.373233029023144
104,5.3725637603496175
105,5.3720654919977235
106,5.371404253032727
107,5.370609201284026
108,5.369878255555303
109,5.368930320249499
110,5.367958216058405
111,5.36696635951308
112,5.365959335496749
113,5.364905049561905
114,5.363871070488701
115,5.362795887305806
116,5.3616947603415746
117,5.360586948660224
118,5.359428681710793
