"","x"
"1",51.9887187475479
"2",109.095272377101
"3",93.8487148703216
"4",18.7751735484772
"5",50.9616454747368
"6",64.2193815998735
"7",5.52212437674057
"8",50.5856053896229
"9",30.6646705803452
"10",117.868573168072
"11",102.120893929592
"12",16.0358592269409
"13",4.3350156962343
"14",13.1934808058333
"15",66.6526693956398
"16",70.77505881607
"17",70.2357500704531
"18",133.620358003972
"19",49.2956483238224
"20",35.2913195627554
"21",8.94027047394641
"22",26.4187021727251
"23",35.2656396496753
"24",61.357427516392
"25",57.9899452247872
"26",78.7136719530054
"27",28.566923050775
"28",64.8503873125196
"29",72.1273765363571
"30",34.2533515256721
"31",146.422806558341
"32",40.6316633189701
"33",102.615675958354
"34",7.99797816650268
"35",36.3656338942907
"36",8.76855454656883
"37",85.9566754289826
"38",25.5000945510473
"39",148.47803721037
"40",115.584892702835
"41",9.65154493538357
"42",118.176371195784
"43",27.0049391679266
"44",50.4004534444338
"45",26.6954030777924
"46",35.9164265997683
"47",133.50438849502
"48",35.2835967021391
"49",133.123246946993
"50",155.60021197006
"51",133.41952599042
"52",101.804061236166
"53",146.63292374033
"54",142.792694411583
"55",38.575957906799
"56",15.4178467849623
"57",141.013113481238
"58",14.125032858804
"59",38.0998598481947
"60",39.8535736048634
"61",37.6752118339242
"62",30.0329101670402
"63",92.7759263793761
"64",12.9674561194858
"65",40.9012108600938
"66",143.521244090346
"67",119.894085140214
"68",89.2196567552768
"69",69.8038207491792
"70",26.6049775701947
"71",118.832935638695
"72",41.7790392530443
"73",143.274115637896
"74",12.8289591948443
"75",123.837423369736
"76",28.0693813052289
"77",32.7540959007454
"78",26.2543349815733
"79",16.7195434957492
"80",51.0976675498898
"81",113.621012805182
"82",23.1557133780061
"83",144.035831351868
"84",102.051091959678
"85",31.0798712531329
"86",123.414494022904
"87",32.9670953997846
"88",37.1997357323043
"89",133.439150622472
"90",61.5253168503869
"91",24.9545829104091
"92",21.21966024314
"93",60.9994737293754
"94",151.094445997386
"95",79.2823820414348
"96",122.083668448173
"97",134.274474735964
"98",78.8805531054503
"99",77.8384385897693
"100",102.32671409297
