"","x"
"1",2.1036738660722
"2",6.64895743472073
"3",2.48477255862443
"4",4.77909906833097
"5",2.88371382406933
"6",2.37576422341638
"7",2.34685012815843
"8",2.44786599572896
"9",1.94364333237092
"10",3.96686486694209
"11",2.50904416249693
"12",6.79690726218668
"13",3.58125271728799
"14",2.1896925999438
"15",2.4287572396676
"16",2.5892259297734
"17",5.45683151706365
"18",13.3467846599515
"19",2.63254101691013
"20",2.31480831019614
"21",2.19522612506483
"22",2.02179181697842
"23",7.04197014386771
"24",1.83093335369605
"25",4.31189818215514
"26",4.87158187949479
"27",2.69613923049018
"28",7.21712979097619
"29",2.22903993697164
"30",2.20957978080882
"31",2.36206602547204
"32",3.20680893710301
"33",2.0665261768884
"34",2.13091363233152
"35",1.88351261786764
"36",2.26900851332646
"37",3.18340031787577
"38",3.52243914857955
"39",2.90945190870471
"40",2.3144989349816
"41",2.60522252484283
"42",3.08234723679512
"43",2.44284772683856
"44",1.91537790528918
"45",3.52212435369501
"46",2.00307039404442
"47",2.17135441783928
"48",2.42881278846182
"49",2.38605166440478
"50",2.00730712114013
"51",3.07476793855528
"52",2.62230086628941
"53",3.87085879995011
"54",1.82884495716559
"55",4.81647049577605
"56",2.07507955718796
"57",7.9658318319141
"58",1.9229548653579
"59",1.9731402789612
"60",4.32893019383863
"61",1.93946663495616
"62",5.82197081139661
"63",2.11255819959894
"64",2.5395291786411
"65",4.32599808110715
"66",2.02784332283744
"67",2.12143310838519
"68",2.33185320278641
"69",1.98976136175838
"70",3.67801204618305
"71",1.91679627051418
"72",5.900458139583
"73",2.1436901892561
"74",2.42289840582432
"75",2.32138327217242
"76",3.11084416816891
"77",2.47692467103869
"78",4.11648661443349
"79",1.94496607988499
"80",4.61462677426671
"81",3.25713085674541
"82",2.4059782376557
"83",2.00700126652621
"84",2.92477525086468
"85",2.69168854333803
"86",1.74865271595834
"87",5.26791711047933
"88",1.76454081765829
"89",3.09172088539794
"90",2.09564016527644
"91",1.86721535801291
"92",6.27956029878299
"93",2.92636084365481
"94",2.78689547454824
"95",2.73294391216422
"96",2.11782831450073
"97",6.93614285329811
"98",2.66576765188031
"99",2.21861333104365
"100",3.64053846740363
