"","x"
"1",8.26818676459384
"2",8.17506150166929
"3",3.07140351292017
"4",3.03449932566021
"5",19.2543014249942
"6",0.523092967383274
"7",13.6306871512111
"8",4.87717831206582
"9",2.24046834553104
"10",1.91465193140795
"11",2.48782179406813
"12",11.2122507651015
"13",8.80538850061759
"14",4.76710247891659
"15",3.07275386538768
"16",6.85223100521305
"17",2.31341094824609
"18",0.795406039002509
"19",4.32605516363
"20",1.65094655060657
"21",1.32457126968601
"22",5.60215271472027
"23",7.25868691749923
"24",2.51058481540961
"25",4.02406244056175
"26",6.32370426817853
"27",3.85310257595575
"28",0.0748350567132567
"29",3.67079831968532
"30",1.00755562677149
"31",8.1259473225271
"32",3.45947553392141
"33",1.12429155816817
"34",0.460235399979
"35",0.658713743083624
"36",0.807451008546409
"37",0.483460478859027
"38",5.69068447747415
"39",0.517504905987391
"40",3.86077808790979
"41",2.50836095800075
"42",0.729626407083896
"43",4.27873198391426
"44",1.12199694760566
"45",2.01402785674029
"46",1.95270431382786
"47",1.59214841824243
"48",1.07276084631326
"49",0.19904185844063
"50",6.45506899495087
"51",0.0963812370106861
"52",6.57932474936835
"53",2.27701207611818
"54",1.74529563039154
"55",1.35637543380732
"56",2.27887028037072
"57",1.88765340187367
"58",1.03176246966872
"59",0.646606056628696
"60",2.90125929712298
"61",1.78066936347747
"62",0.986076765608987
"63",2.74316680613247
"64",1.39451499557853
"65",0.760621650128257
"66",0.613641295479203
"67",2.03766028687439
"68",0.451781453544846
"69",0.931027830495498
"70",0.939462565898633
"71",1.05602678702464
"72",0.329572093557676
"73",0.468162882216595
"74",0.552431408747492
"75",0.635840077158815
"76",0.741290789499185
"77",0.125984019708571
"78",0.425162299190193
"79",0.84941003792613
"80",0.195139023810559
"81",0.116580050886051
"82",1.74907822852112
"83",0.472783806213752
"84",1.55421358544914
"85",0.962574750469759
"86",0.70263370604614
"87",2.71718428834875
"88",0.844253436234186
"89",3.10520681304455
"90",0.386046623734478
"91",1.28060149124797
"92",2.4400619792465
"93",1.79640131292453
"94",0.467429084300154
"95",1.69803195476099
"96",1.42865393123677
"97",0.358662730546393
"98",1.30302323332924
"99",0.708318030768903
"100",0.218811262420522
