index,error
0,2.7004226743934723
1,2.924770228387099
2,2.571989594396985
3,2.621256462806256
4,2.2015550055683004
5,2.3106868897760986
6,2.5409579758945924
7,2.353168715433611
8,2.6138237072014836
9,2.152851260551497
10,2.6965846037791796
11,2.240511626285863
12,2.4210202655816624
13,2.3507351015360216
14,2.3837929474141624
15,2.2098791097206387
16,2.85148639907918
17,2.377294977771536
18,2.6806685909771706
19,2.0843353913731755
20,2.3383545701647614
21,2.4816747790948237
22,1.9813814701984442
23,2.317062668934039
24,3.1361916476035874
25,2.0689262997551428
26,2.5660100212148698
27,2.9539916514407296
28,2.630407638649606
29,1.566746114565539
30,2.3549896050388655
31,2.5072752810794894
32,3.235852478769674
33,2.460118214334039
34,2.0399317345117973
35,2.8539552093175518
36,2.71181116559512
37,1.7711001205226105
38,2.238719523921148
39,2.5966679214816706
40,2.381284170948686
41,2.064111375107249
42,1.9449136260849798
43,3.2999796285246754
44,2.852422823559639
45,2.021064866294007
46,1.9339861029688716
47,2.6772938637838957
48,2.827577953379858
49,2.2798960445320957
50,2.1656327135699707
51,2.88594832845407
52,2.705103606309123
53,2.0987097914107458
54,2.7789869862722494
55,2.2123799724570485
56,2.5283933054865364
57,2.2133453884530128
58,2.6798266608604777
59,2.5005355230818256
60,2.621633063613623
61,2.2603283688496836
62,2.784440634318107
63,2.118304065329062
64,2.4674801716442345
65,2.428788843354987
66,2.3549353764841063
67,2.38456967011638
68,3.036394041727253
69,2.160923198748889
70,2.3263522929039464
71,2.3056731384036473
72,2.201964943992806
73,2.768656670568512
74,2.3523706961985513
75,2.8622302859881197
76,2.3017287457624582
77,2.3026458251371884
78,2.1304485263237583
79,2.2347225232859196
80,2.733164987808822
81,2.74671400867649
82,2.272618407628947
83,2.623793257831947
84,2.1828344680891973
85,2.358251708749392
86,1.765854802760498
87,2.537394474449416
88,2.598823629934801
89,2.395059902951504
90,2.2852005582966943
91,3.4480977336261165
92,2.6018073159151878
93,1.8227178381554143
94,1.8070717888958177
95,2.482169151465053
96,3.1897191947867682
97,2.2376985969831855
98,2.143942239376602
99,3.0230564333805816
100,2.504023254127812
101,2.106899712665871
102,2.150280353919669
103,2.901088010165038
104,2.6314937310267896
105,2.2318991777560853
106,1.987712986428359
107,3.4171800046274186
108,2.7001300417396905
109,2.203886704290099
110,2.074947695280765
111,2.763191097402835
112,2.7183649596204393
113,2.550320264059673
114,1.718734764243871
115,3.0483307064384086
116,2.727936854317988
117,1.8499798423855949
118,2.7757601278700825
119,2.2105643353449094
120,2.426534857946061
121,2.391374584015569
122,2.238104716841191
123,2.656921557694771
124,2.4508286605704703
125,2.1089082267081185
126,2.5146978320309694
127,2.5563733713684114
128,2.3510364840673
129,2.7586301060938103
130,2.1036548526736096
131,2.364504497486599
132,2.4168984622882976
133,2.5875526825203936
134,2.057646295574658
135,2.5427868304507455
136,2.130787440825648
137,2.626661537501393
138,2.448811460761097
139,2.933428235460231
140,2.2250354358689353
141,2.609123281732765
142,2.147783424724484
143,1.9754556744743317
144,2.3098107150440637
145,2.8691056597030804
146,2.2198538787499293
147,2.8350323652207154
148,2.2423296952524825
149,2.543853583415799
150,2.0235722802162917
151,2.42764178861555
152,2.322459172790709
153,2.798110724584321
154,2.3083951863895638
155,2.8960519836456085
156,1.9841137686953283
157,2.55474955522635
158,1.9280175672192184
159,2.7117972880944423
160,2.5128487230232874
161,2.5314764311717735
162,2.502871656923949
163,2.4042400883259702
164,1.74555233169092
165,2.746927198435307
166,2.5156031775596936
167,2.4422449540523368
168,2.699802381900314
169,2.3785063489424
170,2.566425516821492
171,2.336192035178058
172,2.7293887983616085
173,2.5608169942002044
174,2.5540514276082598
175,2.39015794417665
176,2.487258276646052
177,2.360981337622848
178,2.4324135212853966
179,2.3068084162150804
180,2.237485772220466
181,2.428277659651756
182,1.7294127419394727
183,2.942197797247837
184,2.6622408115084384
185,2.3574886864941407
186,2.035692096283413
187,3.0562631962156845
188,2.446058223714276
189,2.200032946397636
190,2.0220239331932577
191,3.2381477593779744
192,2.956693877039822
193,2.184890195766572
194,1.846133203518365
195,2.7577554747012853
196,2.338957370163456
197,2.2358379259233585
198,1.6195484800975142
199,2.6823461738530217
200,3.1540650357508295
201,1.9253862053935968
202,2.4866020108018616
203,2.876454496857255
204,2.5230902703933884
205,2.253564434893145
206,1.8968479693857465
207,2.6916896547908804
208,3.1060929535804833
209,2.28235971660344
210,2.4164696921521163
211,3.195847510812602
212,2.4167354755897703
213,1.8320284017242126
214,2.1332862410827222
215,2.391930940755739
216,2.751085519246204
217,2.652541958772111
218,2.5296187872233693
219,2.3578381196500757
220,1.9074503119772925
221,2.421011312223641
222,2.294940126341616
223,2.6347108378353385
224,2.951676604034497
225,2.497333640876142
226,2.5617319155193443
227,2.504977185226134
228,2.0785394615574533
229,2.3044485239983716
230,2.484075598781031
231,2.1183496455967257
232,2.3244737220461382
233,2.1747065052036025
234,2.414039113347528
235,2.3522977756353263
236,2.7072223343571022
237,2.493840797906714
238,2.4290617823835636
239,2.3527808509273926
240,2.941864950462707
241,2.033395806950115
242,2.729392965703184
243,2.203895955897216
244,2.4756104233154232
245,2.400871915567138
246,1.8405811583179639
247,2.7360118401193256
248,2.912591068630804
249,1.9514423732875674
250,1.4850014598172736
251,1.2026349311897016
252,1.0674878991891086
253,1.3501156026724725
254,1.3176882343219805
255,1.4047260772311483
256,1.4789821820432627
257,1.361414998543833
258,1.393319573156832
259,1.4068513280023287
260,1.0671156691311747
261,1.3128043219421774
262,1.0994182348265324
263,1.3429952695345087
264,1.2669243042929472
265,1.040145449962572
266,1.2856602493839464
267,1.3606269297133777
268,1.010166176784918
269,1.3791738317260727
270,1.434278640855684
271,1.2461822897299066
272,1.4282816265708413
273,1.4113569156976675
274,1.477497301440053
275,1.3512495555491069
276,1.4762541509623843
277,1.303480870664633
278,1.4149279287464127
279,1.4729213593942094
280,1.4744823576847972
281,1.3120917450651042
282,1.4070042374350513
283,1.4044579222534375
284,1.347351859669063
285,1.459013567471078
286,1.4513454630487221
287,1.3887536266916987
288,1.3616175079251727
289,1.3889791126286217
290,1.4631201227682031
291,1.3287664389588096
292,1.2640489029838098
293,1.2911883579193855
294,1.4074576771795808
295,1.4784657827876395
296,1.317640138752285
297,1.3728431814791537
298,1.5077508079684123
299,1.3629669585276
300,1.55937672045629
301,1.2648099229819907
302,1.4212201742950088
303,1.459779848698476
304,1.3994742434600458
305,1.351198140776467
306,1.5073463459130714
307,1.3607624355657872
308,1.3648488019054135
309,1.3745880405928725
310,1.4655041078841715
311,1.3512073197447987
312,1.3957348854561251
313,1.3186503724489136
314,1.3434037286460714
315,1.4133226998442716
316,1.3580160292486023
317,1.2801589424819682
318,1.4173185677791948
319,1.4087956812618738
320,1.5191190549178
321,1.3507861743900365
322,1.3732983287851925
323,1.6571362027770988
324,1.4457348650299127
325,1.3938239398353087
326,1.3866746876397915
327,1.3096379603126571
328,1.505315296999423
329,1.360694042294106
330,1.3451278391289996
331,1.4125659929012673
332,1.4045743470767365
333,1.5364615124089385
334,1.44240833912349
335,1.4905254195575994
336,1.5007589655809057
337,1.504647474336128
338,1.4418074819948732
339,1.40683577332584
340,1.3630139091945626
341,1.4346655376415065
342,1.3098840131067158
343,1.3881682831162607
344,1.6662289876529521
345,1.445689115659814
346,1.3732523903623486
347,1.4146229679295232
348,1.5521131154052663
349,1.2626572922723807
350,1.259453687892366
351,1.5009732363107464
352,1.3512860595065384
353,1.5990944107891367
354,1.5146798538087975
355,1.4384097247418561
356,1.3451482577813083
357,1.4063162771080902
358,1.4159604698252464
359,1.439444590403368
360,1.4501393782160037
361,1.387561099825656
362,1.3168544553469004
363,1.3496003975515098
364,1.4020242565074221
365,1.4812213808385992
366,1.4299023732687164
367,1.5049983215083969
368,1.3272070543697574
369,1.3832816479227281
370,1.3411190409149532
371,1.4068801602617473
372,1.3496002309915218
373,1.287449335353649
374,1.3893372356966098
375,1.522638778182424
376,1.4265181439555907
377,1.39137688039021
378,1.409579867831916
379,1.3916305892716057
380,1.3891929934493492
381,1.4731449935358232
382,1.6070193842698564
383,1.5160466361974332
384,1.487115081607898
385,1.444846689233232
386,1.4633400751619536
387,1.402657701514659
388,1.4201219589052414
389,1.5633540021029135
390,1.4286409563926017
391,1.35139534365878
392,1.4642833054742868
393,1.4167881787682817
394,1.3602647314473677
395,1.4359548336098338
396,1.4523343903864003
397,1.3133588126406328
398,1.443983610223592
399,1.4635747918139315
400,1.650780355657467
401,1.3508252371012504
402,1.4946025242314136
403,1.5144663179529858
404,1.3351581654623321
405,1.2748466982115416
406,1.5661449742625533
