index,error
0,1.9400742214991764
1,1.6727830464759181
2,2.0250620244012087
3,1.9568471490601302
4,1.6640583130701472
5,1.6013514426996025
6,1.6802986419067276
7,1.9381137801360506
8,1.9006206482475876
9,1.8666578751325629
10,1.9171454958734404
11,1.6848342266778844
12,2.4271992239253457
13,1.7128965452015925
14,2.3791874152594232
15,1.7435998587503254
16,2.3613404329563714
17,1.7880347805449475
18,1.8924999053768818
19,2.147891387464591
20,2.09557434721025
21,2.143272147619531
22,2.0895546707497052
23,2.0887890525703274
24,2.013451185179004
25,1.91461780027499
26,2.4039380465993125
27,2.0252935179751423
28,2.6956832714646994
29,1.7009295031474019
30,1.5935190876228393
31,1.2632883743370327
32,2.1471482652234575
33,2.2435513050362834
34,2.113287684549192
35,1.8159522487008704
36,2.1525654907677043
37,1.5324155169213252
38,2.006385180469123
39,1.869714304343456
40,2.07620463111576
41,2.0887286230647204
42,2.0689954740769543
43,1.707912687488489
44,1.979682790771631
45,2.1046125486777143
46,1.6058508659435877
47,2.0287811260166015
48,2.095507036186027
49,2.3292531191333015
50,1.6493416291634881
51,1.8289594519252121
52,2.1533662145048416
53,1.9980166236745533
54,2.0353902013105567
55,2.1398383584233374
56,1.840174670692644
57,2.1298040003628254
58,2.403219040822244
59,2.6113313324024996
60,2.7720958779677374
61,1.869815164134473
62,1.9600356179019602
63,2.4995628423903598
64,2.0923697937176517
65,2.281348540118074
66,2.0717960405428792
67,1.9760160805679725
68,2.2242549929012436
69,1.9895384961573634
70,1.9977535155943142
71,2.2752086910158003
72,1.2232856891812627
73,1.8818688988189423
74,1.8141530018175045
75,2.30437738990646
76,2.154345014789254
77,1.6625918042024626
78,2.0200152017579
79,2.1986497597617882
80,1.5557534470375969
81,2.2766869049329683
82,1.751015351922418
83,1.9804271733437062
84,1.8733563801655113
85,1.6510618271441153
86,1.6298198147983824
87,2.1696161705167776
88,1.8441274974327366
89,1.288641887104583
90,1.7173205957262851
91,1.921061476049501
92,2.056507858623214
93,1.722948549896147
94,1.7168320820432073
95,2.07130556173602
96,2.2351315193314996
97,2.152049173892817
98,2.5297693506383143
99,1.6670283373394126
100,1.2312934683450576
101,2.014408999704884
102,2.081556717536572
103,1.418075493954858
104,1.3664804514315474
105,1.940730840968765
106,1.8107699474592054
107,1.89177597361082
108,2.109335587689778
109,1.1538302209520461
110,1.6199430736324987
111,1.2505095480950184
112,1.98005757931767
113,2.0072840270799066
114,2.226120229925678
115,2.061166352274102
116,2.020458218416486
117,1.8563649697169908
118,1.9017790377449124
119,1.953391489899168
120,1.8806833085860275
121,2.2657972999574882
122,2.256468048404564
123,1.6669547694292086
124,1.2924960899693054
125,2.000681325394813
126,1.7871417208405644
127,1.7492468290306828
128,2.2366684736447846
129,1.8890184694416992
130,1.7745035469101043
131,1.4580026524772887
132,1.9674589831115301
133,2.1974329087513693
134,2.2631873592550282
135,1.4807128008346622
136,2.5257694942465236
137,1.5531689188348632
138,2.128942407650516
139,1.8832879179472117
140,1.970460801977208
141,2.0273777882028456
142,2.4460664128599587
143,1.4052307551897376
144,1.528452518720482
145,1.9861689166027607
146,1.9415018549083902
147,1.811935245744305
148,2.0082423291218046
149,2.250633666946051
150,1.7668245216959608
151,1.4736756981182906
152,2.3991650502772814
153,1.3684954192806982
154,1.580877898649827
155,1.87176691866795
156,1.6641921683966112
157,1.7555372844392636
158,2.1895880925994256
159,1.9607250311502336
160,2.0876022812993402
161,1.7380530360043065
162,1.7451008564453507
163,2.1957442057244014
164,1.7936104521695948
165,1.815795438267986
166,1.3018726482879692
167,2.2948938553721145
168,2.329701070793325
169,2.190114747532796
170,1.4534293628464596
171,1.5519490376580403
172,1.1283050691612735
173,1.8051548469737773
174,1.504079898398707
175,2.3967605015612223
176,1.8492361582843224
177,1.2406583815864825
178,1.87376806878087
179,1.9212490189964955
180,1.3627487244519538
181,1.5940578291216283
182,1.9919969211528608
183,1.6730515526888818
184,1.2018001698636018
185,2.2486370202780113
186,1.6012504669608902
187,1.4381598445341484
188,2.303121021602496
189,1.6724788734879783
190,1.227313030524711
191,1.7854086063120922
192,1.7772134108907613
193,1.9902624616639226
194,1.4738257301858366
195,1.2707893884405546
196,2.202341280733345
197,1.6806376826664549
198,1.684616151651348
199,1.7016404162657877
200,1.183792517217414
201,1.6899021789813005
202,1.6296698354290646
203,1.262389969161404
204,1.2888957138291084
205,1.9664420027686638
206,1.690512168582964
207,1.6276704228980619
208,1.8370174773164325
209,1.1143903697590014
210,1.27174465084892
211,1.1142804685213783
212,1.7374243721992655
213,1.7764549085471897
214,2.0107777512874527
215,2.121864195399647
216,1.7158640003293903
217,1.6350178012761236
218,1.5537770692145108
219,1.6171192539425532
220,1.9089043992564065
221,1.7344525621802616
222,1.9068023737723214
223,1.5338603456729947
224,1.2690653608408902
225,1.6895625037091473
226,1.2958201500383362
227,1.6503364008937866
228,1.7232137035517765
229,1.6639946248241828
230,1.6915986416436386
231,1.5022432472690008
232,1.73542297040773
233,2.0900827009090617
234,1.9889861927413237
235,1.3420751241235775
236,2.240256430441467
237,1.365022963487739
238,1.9185268612634083
239,1.6168221106401888
240,1.7822523092711329
241,1.9551505124061443
242,2.043747913040637
243,1.3951224923638301
244,1.41770998428524
245,1.5160761143676256
246,1.8050184552025927
247,1.6060351146108696
248,1.765705250528204
249,1.913429933474952
250,1.7106155152143263
251,1.1177695709068007
252,2.021160659435646
253,1.3284554688418577
254,1.2629554608946578
255,1.4442307938969665
256,1.4352885736287657
257,1.5016020930735694
258,2.121605371811748
259,1.6666177621682792
260,1.7472899353978044
261,1.5613822246104667
262,1.5310872489673037
263,1.6714643547543149
264,1.5752388929717762
265,1.6325504131652067
266,1.0996666671700537
267,2.114916940202381
268,1.966816943620529
269,1.877305321269359
270,1.2150488333917966
271,1.404267212871619
272,1.0650339925910743
273,1.6970444457753617
274,1.3198893048261107
275,2.0020120503970444
276,1.5268630951447884
277,1.200695388413957
278,1.4978092853112146
279,1.6114195996762528
280,1.2763681892599146
281,1.4838942273641216
282,1.9953272793382737
283,1.5128932868202354
284,1.1147545766663252
285,2.115444311393939
286,1.4351603895149811
287,1.2870689372949646
288,2.0681068528559265
289,1.6703546516185837
290,1.1145619982763126
291,1.5329372793791811
292,1.5443518502708702
293,1.6667223301162526
294,1.3456147119506416
295,1.1751583044579563
296,1.9381318685513538
297,1.515112933607182
298,1.7001950144625622
299,1.4538523633585605
300,1.1510015142931098
301,1.3435409922707007
302,1.2467489433133676
303,1.0769398955172738
304,1.1948075078644378
305,1.4971194979315587
306,1.595819809800632
307,1.3756774334077624
308,1.5388160418145647
309,1.1055655843367331
310,1.137947855683362
311,1.0746921356492178
312,1.4967535952780389
313,1.500280978102961
314,1.9414629244950705
315,2.004552614967128
316,1.4687614340877508
317,1.3961802128229333
318,1.1772267761014337
319,1.4280375573604944
320,1.5157569274317126
321,1.3176909509822916
322,1.5170617560393205
323,1.4298982919852574
324,1.2060792438295933
325,1.265458715312168
326,1.1302509837923562
327,1.6278841402023863
328,1.3054385326517137
329,1.4383001791604024
330,1.5133228509009606
331,1.3074136651454016
332,1.5490505351832762
333,1.516861402570413
334,1.4656652285404563
335,1.155922852858476
336,1.9290882336948876
337,1.1627174076295868
338,1.5815112900119663
339,1.3545929771681096
340,1.4010551893248482
341,1.7334934361042276
342,1.6631843407140992
343,1.3887657344305944
344,1.3089771512979549
345,1.2226197405346677
346,1.6379642350974724
347,1.281686924503307
348,1.48376977003994
349,1.5381143929289438
350,1.469374492997547
351,1.058853954902026
352,1.723428372659827
353,1.3530321328999668
354,1.195990531538551
355,1.1830251655602995
356,1.1699559559336572
357,1.2408784853553145
358,1.7728268998200143
359,1.5263320307128418
360,1.5727681330900192
361,1.3149268349162737
362,1.2485479633503143
363,1.4431788543990425
364,1.316237106805767
365,1.284058569599875
366,0.9801096256847017
367,1.52318732201275
368,1.3148808279546575
369,1.458918888248204
370,1.1239840278010647
371,1.2291416287503423
372,1.0053118371284229
373,1.4851765783694044
374,1.0429467309034521
375,1.7087511194332081
376,1.3249462829134637
377,1.1409919078816988
378,1.2547272561146132
379,1.3838063400904317
380,1.0967291829099908
381,1.3749497983743395
382,1.481382726193343
383,1.427037695962082
384,1.0513750034752567
385,1.6176752444496116
386,1.2531664997956402
387,1.1298072534423533
388,1.3755702555303058
389,1.3756554396326093
390,1.0737278916153
391,1.2750189385760389
392,1.298313216283043
393,1.410981752186644
394,1.375477181581045
395,1.0665876521052542
396,1.574566546998732
397,1.3239667430050313
398,1.633740561679897
399,1.2432142530746246
400,1.080744967100156
401,1.1401496350797673
402,1.0409534941031238
403,1.067901497980296
404,1.1131523427443861
405,1.0985361417084225
406,1.289519605149297
407,1.1297099272601323
408,1.2587675239624492
409,1.0703112953358132
410,1.0735217573123594
411,1.0235563173620672
412,1.2252779905541784
413,1.2281829948617573
414,1.6414991071124791
415,1.612127520802836
416,1.1914655027580456
417,1.2539687323917779
418,0.9622591589680973
419,1.2563805604465665
420,1.1348714160858564
421,1.0529609598431147
422,1.2167217972469224
423,1.2057888614954682
424,1.1338307457704668
425,0.995567876599136
426,1.0276828849253368
427,1.3247176008187285
428,1.0594962195834727
429,1.156146594841033
430,1.3366376357327994
431,1.140638150570025
432,1.2853917542935565
433,1.2291664578051984
434,1.2394017362765586
435,1.0305933579784918
436,1.5625036152112193
437,1.1096213121689524
438,1.2691366974800582
439,1.1088947628709132
440,1.1785300976508104
441,1.435298302148904
442,1.3591680657332115
443,1.2096188922387245
444,1.1537602185073312
445,1.0700112377059114
446,1.3874644667423193
447,1.1234870553787009
448,1.2015134455675986
449,1.283323871362646
450,1.1725169386126855
451,1.0117793591810944
452,1.3661928445228497
453,1.2750746013631646
454,1.0900483022639222
455,1.1050981341663773
456,1.0271737602873088
457,0.985142469223779
458,1.3094981303413924
459,1.3776827183517701
460,1.4203602101343025
461,1.038127231071098
462,1.0699412111011184
463,1.2324480908547881
464,1.0945438378881165
465,0.9804224606186849
466,0.9666084442020716
467,1.160377094979254
468,1.034557508463441
