"","x"
"1",2.93379777034513
"2",2.62640109082067
"3",9.45672215106346
"4",8.96951827495018
"5",2.23421048050174
"6",6.36265211898002
"7",3.60780277296693
"8",2.27694832242161
"9",2.16007699297635
"10",3.23417252269235
"11",2.56257410655686
"12",2.61682810968313
"13",2.49886647456388
"14",7.55022171008817
"15",2.41997805382668
"16",5.32501645172823
"17",5.85443145884292
"18",2.48024188554483
"19",6.42728636396275
"20",5.00478236494493
"21",6.34293748677622
"22",2.47621028156582
"23",2.60769124491834
"24",8.49124488933709
"25",6.57292223410843
"26",2.57691267243889
"27",2.43422389991236
"28",2.32259154224258
"29",2.8509553007754
"30",7.38735685309798
"31",2.69211168777164
"32",2.41699751307847
"33",3.40382613771016
"34",2.23848105128164
"35",2.59860762381401
"36",2.15158517087054
"37",3.70795244391459
"38",2.18040012599607
"39",3.07742746153383
"40",3.16464566149413
"41",5.24613050572931
"42",5.79843838417944
"43",3.03949960699979
"44",2.20520931167345
"45",2.32799520653004
"46",2.65925966862665
"47",3.21505703188507
"48",7.52172307813775
"49",6.61924123334083
"50",2.38410007675946
"51",2.74818240582235
"52",4.70002047905329
"53",4.95210204856466
"54",4.31923358474039
"55",1.82871881791241
"56",2.51695210109262
"57",2.84989491625281
"58",4.59298185629658
"59",5.35098267809913
"60",2.75478504187847
"61",2.61287113562081
"62",2.53965147755551
"63",2.10130211444234
"64",4.8020411314837
"65",5.55584110883622
"66",4.82029403175812
"67",4.24414213742489
"68",2.47767167246548
"69",2.15532711631239
"70",2.24201869891618
"71",2.94330133903959
"72",4.55348761536479
"73",7.62302711725081
"74",2.61049648484148
"75",3.81236448372087
"76",3.36740302737963
"77",3.80522855896964
"78",1.94173890849837
"79",3.99886435206072
"80",2.57417721181654
"81",2.64350178664151
"82",2.32953765312986
"83",6.89152510453987
"84",3.56082902062398
"85",4.64334477081111
"86",2.46326067799315
"87",4.39961433964988
"88",2.56136801903761
"89",4.17013361094141
"90",2.65753372553428
"91",2.33359665997088
"92",2.03566462433877
"93",2.39688814331533
"94",3.2995049525315
"95",3.55151564226507
"96",2.6642773520747
"97",3.36312676246109
"98",3.03070828135782
"99",1.97930176728054
"100",4.40614751292706
