"","x"
"1",0.913229774216399
"2",4.47635787829623
"3",5.48080828565416
"4",4.67849748963736
"5",1.88831251429181
"6",1.19207892502556
"7",1.0439853822741
"8",4.76211537259971
"9",4.51804273543597
"10",1.15767316900187
"11",6.83368662365303
"12",4.93072229900438
"13",6.89042879243449
"14",1.83769567670302
"15",0.953416254477772
"16",1.20653618120752
"17",1.12460609170225
"18",1.6360553975718
"19",2.01062278974762
"20",1.79240362402824
"21",1.22514857799496
"22",0.936846676360541
"23",4.37111145838317
"24",0.553212752776723
"25",1.05847745941596
"26",1.79754145985013
"27",1.27593418392774
"28",1.18554542873135
"29",4.24725998231765
"30",0.918978579604637
"31",0.848605194284342
"32",0.798422822021449
"33",0.722640550281801
"34",0.936287497567064
"35",0.872663861758944
"36",0.809700158108072
"37",5.82492186826348
"38",1.58295249510438
"39",2.05438428993605
"40",0.95676507538216
"41",1.25262356175398
"42",1.00797673922433
"43",2.83827983749708
"44",0.908317907799571
"45",1.23333535952802
"46",1.13378367789846
"47",1.23327767411924
"48",0.684667220174501
"49",1.13423558907673
"50",4.36485088212819
"51",0.663946691057528
"52",7.41479252952494
"53",1.27535602624162
"54",0.519545423813148
"55",2.51801814642768
"56",4.49367805120907
"57",1.27663817975989
"58",1.1342009955452
"59",0.733777171251913
"60",3.19705601294381
"61",1.05675095059342
"62",0.737830988297939
"63",1.20026068191089
"64",0.671591508219484
"65",5.50781456838753
"66",1.91811845891089
"67",2.80176594484747
"68",0.815554135030783
"69",0.883186680647828
"70",0.802485915355567
"71",0.798823425084316
"72",2.28518247295875
"73",0.930173083716189
"74",1.60776879060252
"75",0.83589214479269
"76",0.515262953193786
"77",0.727698721349601
"78",1.11605768155736
"79",1.20359278740794
"80",1.03865626852576
"81",1.740823395759
"82",4.30979763368672
"83",1.43065119203829
"84",0.906434800681951
"85",1.02205216443441
"86",1.22090097900902
"87",2.86234858661856
"88",0.767360343573621
"89",0.749705942840555
"90",1.08929305926852
"91",2.6810503142025
"92",6.7829372865472
"93",1.13340372793215
"94",5.13531907757121
"95",0.999785458360266
"96",1.97497880911033
"97",0.995770455020526
"98",1.19019558546553
"99",0.616119467605549
"100",0.991129601413027
