"","x"
"1",2.16931747657264
"2",2.82099574449
"3",2.43918859912524
"4",4.14099573582471
"5",2.85465836966787
"6",3.77354735746023
"7",2.87663912655836
"8",6.67034151320261
"9",2.37125853025831
"10",2.60331049990209
"11",7.62508921657798
"12",4.77899608936453
"13",3.98166334836349
"14",3.73953923043067
"15",3.88636701348985
"16",2.4068864362879
"17",2.85280589423747
"18",2.85912693752479
"19",8.12391566597254
"20",2.62330188725587
"21",4.55127183136835
"22",2.82832906339147
"23",4.93656649371954
"24",2.68168751077606
"25",2.51362306356716
"26",2.90368721278915
"27",4.31698156899638
"28",6.49617206130582
"29",2.46249236170096
"30",2.61640262702314
"31",6.29114270434359
"32",2.65476157968936
"33",2.33749377178978
"34",7.07754186859507
"35",2.57833347708005
"36",3.22472950353955
"37",2.66414892659603
"38",2.45954297409026
"39",3.13746575725788
"40",2.71213478049633
"41",2.90974837343935
"42",2.9523014332068
"43",4.72505437813055
"44",2.57654053081434
"45",3.0679078428416
"46",5.48407524894837
"47",2.455353434262
"48",2.62863800135073
"49",2.51828853119112
"50",8.42182857218163
"51",2.98938105032594
"52",2.74917771429087
"53",2.40895519857931
"54",2.78463728905741
"55",3.11387598034376
"56",2.33220521078872
"57",5.80274658482633
"58",3.17334871934921
"59",2.66745593231875
"60",2.33690216762543
"61",3.04935900860105
"62",4.25983946742382
"63",2.87588500093195
"64",2.42528732885522
"65",2.17338508056781
"66",2.58719392061688
"67",2.26985262695299
"68",2.46154744956852
"69",2.36988997228051
"70",4.82684396812845
"71",2.48255653838752
"72",2.39062537988476
"73",2.75773586707872
"74",2.4383519157253
"75",2.5861829818458
"76",2.75659848762166
"77",5.6193728860045
"78",2.5648174953262
"79",5.09767139392838
"80",3.37849242980584
"81",2.95549246054053
"82",3.01730877096172
"83",2.60667570305249
"84",2.78607394475245
"85",2.76697972788552
"86",2.49368822276817
"87",2.49777601588277
"88",2.78639431588965
"89",2.67584656329471
"90",1.8320275502894
"91",4.18634191226057
"92",2.9515870673068
"93",1.95277981908779
"94",7.90427573582784
"95",2.62012408305765
"96",3.23213393008915
"97",2.39878707839985
"98",2.84439100550689
"99",2.30331187742529
"100",6.48961657893501
