"","iter","group","error","time"
"1",1,1,0.123695526200992,13.9648201465607
"2",2,1,0.124477325246309,91.1471076011658
"3",3,1,2.8093894554552,1.12013030052185
"4",4,1,0.0642606687047563,10.6461870670319
"5",5,1,0.058777292197297,50.5592184066772
"6",1,2,0.69629365106924,2.12710165977478
"7",2,2,2.09937174719817,38.4300510883331
"8",3,2,0.364119961513121,2.25065088272095
"9",4,2,1.84614941277391,58.7112879753113
"10",5,2,0.673975904271977,4.50038480758667
"11",1,3,0.423379664755509,1.18889164924622
"12",2,3,2.01954519339546,1.04776835441589
"13",3,3,0.687994499265206,1.1492235660553
"14",4,3,3.02067376742487,2.42512369155884
"15",5,3,3.04777515952378,2.55773425102234
"16",1,4,3.10162618504846,2.15079092979431
"17",2,4,7.62160601362491,2.12126445770264
"18",3,4,9.37514132931714,1.14166402816772
"19",4,4,25.0227347409324,55.8136613368988
"20",5,4,36.1366846697561,1.26048064231873
"21",1,5,45.4858131565454,1.14246129989624
"22",2,5,26.603595314353,2.09074068069458
"23",3,5,6.94343848588951,2.25763082504272
"24",4,5,4.94643221297285,60.8320264816284
"25",5,5,18.3954841977389,1.30530881881714
"26",1,6,6.45606664923461,54.3217356204987
"27",2,6,16.562302138162,2.09254860877991
"28",3,6,18.3746439769384,20.1162347793579
"29",4,6,69.6907466263504,27.4294531345367
"30",5,6,19.2158532876646,27.138786315918
"31",1,7,954.120006220065,2.29059600830078
"32",2,7,42.5435358516177,2.12491273880005
"33",3,7,376.253064412206,2.29939937591553
"34",4,7,452.641325031401,3.63299608230591
"35",5,7,1052.42066718041,1.26435208320618
"36",1,8,51.0342247653888,2.15909171104431
"37",2,8,347.568864863859,2.11535906791687
"38",3,8,44.2486585881974,39.083352804184
"39",4,8,67.7703966727754,38.6632163524628
"40",5,8,44.4148482137254,11.4213118553162
"41",1,9,550.585767770561,2.13675451278687
"42",2,9,68.2679149822007,1.07635569572449
"43",3,9,218.684798009047,1.25291514396667
"44",4,9,52.6487682908143,41.7418396472931
"45",5,9,48.5998799014193,2.56862425804138
