kernel,iter,error
se,1,51.9887187475479
se,2,109.095272377101
se,3,93.8487148703216
se,4,18.7751735484772
se,5,50.9616454747368
se,6,64.2193815998735
se,7,5.52212437674057
se,8,50.5856053896229
se,9,30.6646705803452
se,10,117.868573168072
se,11,102.120893929592
se,12,16.0358592269409
se,13,4.3350156962343
se,14,13.1934808058333
se,15,66.6526693956398
se,16,70.77505881607
se,17,70.2357500704531
se,18,133.620358003972
se,19,49.2956483238224
se,20,35.2913195627554
se,21,8.94027047394641
se,22,26.4187021727251
se,23,35.2656396496753
se,24,61.357427516392
se,25,57.9899452247872
se,26,78.7136719530054
se,27,28.566923050775
se,28,64.8503873125196
se,29,72.1273765363571
se,30,34.2533515256721
se,31,146.422806558341
se,32,40.6316633189701
se,33,102.615675958354
se,34,7.99797816650268
se,35,36.3656338942907
se,36,8.76855454656883
se,37,85.9566754289826
se,38,25.5000945510473
se,39,148.47803721037
se,40,115.584892702835
se,41,9.65154493538357
se,42,118.176371195784
se,43,27.0049391679266
se,44,50.4004534444338
se,45,26.6954030777924
se,46,35.9164265997683
se,47,133.50438849502
se,48,35.2835967021391
se,49,133.123246946993
se,50,155.60021197006
se,51,133.41952599042
se,52,101.804061236166
se,53,146.63292374033
se,54,142.792694411583
se,55,38.575957906799
se,56,15.4178467849623
se,57,141.013113481238
se,58,14.125032858804
se,59,38.0998598481947
se,60,39.8535736048634
se,61,37.6752118339242
se,62,30.0329101670402
se,63,92.7759263793761
se,64,12.9674561194858
se,65,40.9012108600938
se,66,143.521244090346
se,67,119.894085140214
se,68,89.2196567552768
se,69,69.8038207491792
se,70,26.6049775701947
se,71,118.832935638695
se,72,41.7790392530443
se,73,143.274115637896
se,74,12.8289591948443
se,75,123.837423369736
se,76,28.0693813052289
se,77,32.7540959007454
se,78,26.2543349815733
se,79,16.7195434957492
se,80,51.0976675498898
se,81,113.621012805182
se,82,23.1557133780061
se,83,144.035831351868
se,84,102.051091959678
se,85,31.0798712531329
se,86,123.414494022904
se,87,32.9670953997846
se,88,37.1997357323043
se,89,133.439150622472
se,90,61.5253168503869
se,91,24.9545829104091
se,92,21.21966024314
se,93,60.9994737293754
se,94,151.094445997386
se,95,79.2823820414348
se,96,122.083668448173
se,97,134.274474735964
se,98,78.8805531054503
se,99,77.8384385897693
se,100,102.32671409297
se2,1,40.2530715929358
se2,2,35.0664784660235
se2,3,75.498705602634
se2,4,65.2403426727177
se2,5,13.1221720181798
se2,6,9.60335943963802
se2,7,36.6503095050878
se2,8,2.10378207495085
se2,9,88.0996458502584
se2,10,23.0423070033729
se2,11,6.2947236058203
se2,12,58.9924325018539
se2,13,40.8314737906505
se2,14,69.787338919957
se2,15,16.6485110304676
se2,16,26.3916065609557
se2,17,26.3107260979584
se2,18,38.262579631812
se2,19,7.76833982753694
se2,20,12.7899512670046
se2,21,6.1383862230052
se2,22,49.0915541845845
se2,23,61.5920559766918
se2,24,12.6936622735227
se2,25,26.9187514969968
se2,26,17.0797908814995
se2,27,19.0705866627448
se2,28,39.8814906246747
se2,29,17.6973247304589
se2,30,31.4254811717986
se2,31,18.546310766841
se2,32,20.3980486529771
se2,33,16.9043710732684
se2,34,15.700746435749
se2,35,13.9180518339594
se2,36,13.7459445963463
se2,37,8.98919079809317
se2,38,64.531371780738
se2,39,11.4563703867773
se2,40,15.5488652858719
se2,41,50.9980777340309
se2,42,11.1104562150769
se2,43,12.2391717469292
se2,44,20.3448862837218
se2,45,66.9589170550061
se2,46,17.4781320402404
se2,47,30.4980154150556
se2,48,50.5999214716917
se2,49,22.3274709607834
se2,50,48.9993169707556
se2,51,13.2491805352058
se2,52,31.8198326658953
se2,53,23.2248555380665
se2,54,46.6027708871225
se2,55,20.0308472868727
se2,56,17.3815988109706
se2,57,11.0923364037513
se2,58,34.7920730336158
se2,59,5.32983427086619
se2,60,15.0138530022918
se2,61,26.2728497376499
se2,62,20.6496115924151
se2,63,16.5291168366111
se2,64,49.5102387611074
se2,65,42.375554910161
se2,66,11.2752977222778
se2,67,48.8896435711588
se2,68,9.44517136783239
se2,69,37.2557383370329
se2,70,27.5152094781709
se2,71,33.2916663867138
se2,72,35.0782208116267
se2,73,21.4336139465316
se2,74,48.0538419928122
se2,75,8.09609380780023
se2,76,12.1595529292671
se2,77,35.8229175492468
se2,78,5.189516046721
se2,79,50.3421377016893
se2,80,18.6187045402861
se2,81,12.9204927366626
se2,82,26.021730367698
se2,83,61.8480874323055
se2,84,24.0338005649912
se2,85,51.1966060398928
se2,86,56.4418012031386
se2,87,73.6673256276848
se2,88,10.4346604183647
se2,89,58.8099224409985
se2,90,11.2588740752651
se2,91,43.4079237169828
se2,92,62.5813786388167
se2,93,49.166131987029
se2,94,37.1309520202958
se2,95,41.1645976859155
se2,96,11.2113366927299
se2,97,49.0729884884972
se2,98,16.5842855364517
se2,99,5.91462282482945
se2,100,4.27813441790253
oak,1,40.2530715929358
oak,2,66.0706760348315
oak,3,11.9262196966269
oak,4,102.67595632663
oak,5,65.8544250304947
oak,6,57.2701615601145
oak,7,61.1829994145833
oak,8,61.8726609752663
oak,9,64.3853270996729
oak,10,64.2664273326851
oak,11,62.7809454811834
oak,12,66.6968432516591
oak,13,66.4904703984282
oak,14,68.460330557912
oak,15,64.751383545966
oak,16,57.9155219354522
oak,17,57.3779292391696
oak,18,60.9721572449248
oak,19,58.808889185912
oak,20,67.1796933395662
oak,21,65.1673640848793
oak,22,57.4851161013942
