"","x"
"1",2.05013760719475
"2",8.27891185588078
"3",2.00028165416118
"4",5.90397914088252
"5",1.8529640634073
"6",1.99024883577496
"7",2.383545383315
"8",3.93332531231263
"9",2.41429988712758
"10",2.37973741771669
"11",3.93153660061689
"12",7.88898263246292
"13",1.83906437464607
"14",1.83398286939037
"15",2.67545446387525
"16",2.344929703656
"17",2.21442577841672
"18",4.28199709100178
"19",1.99890828593352
"20",2.27897989727611
"21",4.3036283091376
"22",2.37868524227792
"23",8.12259277967145
"24",1.84700976769756
"25",2.18140807534883
"26",1.71426523397425
"27",3.52920499032634
"28",2.17608690807502
"29",2.22115509348397
"30",1.55434870769057
"31",2.4914951012467
"32",2.17834918679997
"33",2.41154208286302
"34",2.06336316996491
"35",6.82595325644421
"36",4.17201384776945
"37",1.7401554707039
"38",2.17211556081271
"39",4.57564955121255
"40",2.44215573958241
"41",2.112049104187
"42",1.94860984731694
"43",1.7539168356241
"44",2.45777310971386
"45",2.60629575857208
"46",4.28703110843053
"47",8.14703877166527
"48",1.66970549924436
"49",2.4158185259509
"50",2.52408113990947
"51",2.47679063107425
"52",1.95374613897323
"53",2.33826814967205
"54",6.11467700481569
"55",2.25840915337403
"56",2.09562076054977
"57",4.03846761049559
"58",3.07563414821546
"59",3.06100750743856
"60",1.9312479608316
"61",9.22085020678209
"62",2.16864787544412
"63",6.32979068501107
"64",2.09943709554873
"65",2.66075701743173
"66",2.32870794909482
"67",1.61559534359941
"68",1.62196888245387
"69",6.4641238201434
"70",1.80116034821254
"71",7.6942311451024
"72",1.63006479813639
"73",7.9243415483737
"74",3.29850525954809
"75",2.31383155395516
"76",2.20188809358242
"77",3.72622149651279
"78",1.91451884278618
"79",1.86106624992504
"80",2.04721496876723
"81",1.92028624838085
"82",3.25132718901719
"83",2.13462982057198
"84",3.68824072945469
"85",1.85615097167574
"86",4.24173768729337
"87",1.45676825355285
"88",5.11544022222067
"89",2.01440276841071
"90",1.89477829824334
"91",5.04228739140022
"92",3.8328509241247
"93",2.96422518930617
"94",1.57236687523979
"95",2.57893855441779
"96",1.91206187272463
"97",2.57287896263346
"98",2.84941585377223
"99",6.90770793241056
"100",5.1363112025945
