iter;y;seed;kernel
1;3.00359959462573;1;se
2;3.0225010842809;1;se
3;7.18955766703218;1;se
4;21.4707276734122;1;se
5;3.02590103600504;1;se
6;12.0082740359773;1;se
7;2.63502625283212;1;se
8;5.93062338098926;1;se
9;27.1833836907097;1;se
10;8.92508102430019;1;se
11;21.4827112044467;1;se
12;8.54285033174862;1;se
13;7.13117065269164;1;se
14;24.9529273458821;1;se
15;4.8588266151987;1;se
16;3.0404400704878;1;se
17;8.57796865761069;1;se
18;6.61554423002449;1;se
19;14.1300170577579;1;se
20;1.00493968257797;1;se
21;1.03385143091142;1;se
22;21.4739634372053;1;se
23;4.04731878442006;1;se
24;3.00641187738435;1;se
25;24.2734935897296;1;se
26;8.78609123692104;1;se
27;23.355418532089;1;se
28;22.8105685872614;1;se
29;22.4993782562269;1;se
30;3.30917926967966;1;se
31;24.6337102562269;1;se
32;8.35309129036931;1;se
33;6.95994274554173;1;se
34;5.71018693347371;1;se
35;0.392436157649271;1;se
36;3.02153634634987;1;se
37;4.94777118841103;1;se
38;21.5044566785846;1;se
39;24.1776657017985;1;se
40;21.4586330148181;1;se
41;0.86178060621647;1;se
42;7.30310958002449;1;se
43;16.3949897995351;1;se
44;26.9099387389855;1;se
45;2.84620233886401;1;se
46;3.04773242910849;1;se
47;7.66441309036931;1;se
48;20.0483639439608;1;se
49;2.08086573041833;1;se
50;3.76757291795552;1;se
51;22.4596540407096;1;se
52;6.45679900243828;1;se
53;3.00006017393608;1;se
54;10.0861441594822;1;se
55;24.7738330407097;1;se
56;15.7591183863878;1;se
57;3.04184177393608;1;se
58;21.500436595826;1;se
59;0.900966330032307;1;se
60;23.5269737855372;1;se
61;3.00076459462573;1;se
62;3.00208214807401;1;se
63;24.63689382002;1;se
64;3.01154071359125;1;se
65;21.5606255914537;1;se
66;21.4489644062269;1;se
67;5.31741040761069;1;se
68;21.4779936992743;1;se
69;3.04122203692104;1;se
70;7.13495967830035;1;se
71;3.01995079462573;1;se
72;21.477355645826;1;se
73;3.02402177393608;1;se
74;3.0306393342809;1;se
75;21.4851974234122;1;se
76;3.01272894634987;1;se
77;3.01937642393608;1;se
78;3.00281505841884;1;se
79;3.00277407738435;1;se
80;22.2390496880054;1;se
81;21.4703728872053;1;se
82;23.57703942002;1;se
83;0.924110978308169;1;se
84;25.9218617596752;1;se
85;21.4671852734122;1;se
86;21.4982918803087;1;se
87;3.0164602842809;1;se
88;21.4969632320329;1;se
89;3.02100472566021;1;se
90;21.4941165009984;1;se
91;26.9886745096752;1;se
92;3.01595907738435;1;se
93;21.5065143889294;1;se
94;21.4888601285846;1;se
95;21.9251038517985;1;se
96;26.5381664751924;1;se
97;0.640450328308169;1;se
98;3.0050741204878;1;se
99;3.00537358772918;1;se
100;0.730942480875247;1;se
1;21.4707276734122;2;se
2;25.7699957596752;2;se
3;24.6596777855372;2;se
4;8.99278734118922;2;se
5;21.5167224992743;2;se
6;7.86540133864518;2;se
7;10.3220656382968;2;se
8;9.89985204432771;2;se
9;7.69177774554173;2;se
10;17.8828240702651;2;se
11;3.00277407738435;2;se
12;7.12619937312793;2;se
13;7.29632750723212;2;se
14;4.21731286450724;2;se
15;21.8662376604192;2;se
