kernel,iter,error
se,1,40.2530715929358
se,2,93.2692205775527
se,3,14.1277905109175
se,4,65.2403426727177
se,5,26.5442149734689
se,6,18.5671739875312
se,7,49.4242514062103
se,8,37.3060931399816
se,9,15.686549085107
se,10,22.9008497957352
se,11,10.9903996699742
se,12,35.9619716643028
se,13,26.3975998261052
se,14,48.2180923929965
se,15,54.2158688265138
se,16,70.3151448682211
se,17,5.90095446922585
se,18,6.19015488109175
se,19,77.1643554779554
se,20,3.99195281719442
se,21,10.4320528436296
se,22,30.6936188852212
se,23,74.7256198948383
se,24,104.551064261826
se,25,25.5256746634311
se,26,4.73083804362771
se,27,28.3598393784885
se,28,60.1866011158187
se,29,12.0390783129669
se,30,72.408651781499
se,31,22.9417148875682
se,32,23.4615112534932
se,33,9.64119497097513
se,34,82.2203478500483
se,35,5.1702903749789
se,36,5.01152082739464
se,37,21.9514032015961
se,38,95.6879914623791
se,39,57.6599182794055
se,40,20.3422510862835
se,41,57.3826140466214
se,42,21.9055975597243
se,43,35.0831879255807
se,44,23.5736308391943
se,45,76.9618390693942
se,46,53.248763775898
se,47,5.96250741493917
se,48,84.9235659312623
se,49,41.653877700141
se,50,90.0266410170119
se,51,8.46919073279679
se,52,72.4439209875013
se,53,50.4694482615629
se,54,86.4359223424719
se,55,109.969356747905
se,56,32.0613304670244
se,57,101.897988814878
se,58,30.5040524934497
se,59,29.3441428145288
se,60,8.93361761305802
se,61,53.2850613275447
se,62,79.4363618825817
se,63,43.4657080091666
se,64,3.36994525465804
se,65,9.97382071376247
se,66,101.575780586966
se,67,18.4643559288801
se,68,77.1547548596173
se,69,34.291757187103
se,70,7.44974758405017
se,71,24.0021416032996
se,72,18.4375983171844
se,73,43.8538551325938
se,74,58.2038822094528
se,75,53.3890827269567
se,76,38.3946097196168
se,77,25.8430138375973
se,78,48.0815205070985
se,79,2.39100958320271
se,80,17.8043733512571
se,81,30.3751859014319
se,82,21.630050824282
se,83,22.0530045127318
se,84,21.5082776476258
se,85,67.2139327820975
se,86,32.3406688826962
se,87,61.082047826868
se,88,56.6688534292599
se,89,40.1295546314731
se,90,18.0680061878872
se,91,30.2948473420047
se,92,14.6650720308965
se,93,91.8520474245244
se,94,56.4181798236097
se,95,17.8929281900696
se,96,39.5264015833429
se,97,107.066559994846
se,98,10.3766269286085
se,99,54.8884207985903
se,100,61.62582181038
se2,1,40.2530715929358
se2,2,35.0664784660235
se2,3,75.498705602634
se2,4,65.2403426727177
se2,5,10.9592648109601
se2,6,16.4537029474061
se2,7,66.8252138462092
se2,8,28.6871935282389
se2,9,30.7013324275217
se2,10,28.3520496656534
se2,11,24.8470210321039
se2,12,35.9619716643028
se2,13,95.4808758345764
se2,14,76.2326792922795
se2,15,54.2158688265138
se2,16,65.7490817180289
se2,17,65.0889447054019
se2,18,88.5342642404212
se2,19,35.4717384851118
se2,20,3.99195281719442
se2,21,50.062732703208
se2,22,118.602961157711
se2,23,41.9587029686202
se2,24,104.551064261826
se2,25,88.8201431189661
se2,26,4.73083804362771
se2,27,8.47775059712493
se2,28,60.1866011158187
se2,29,19.8879185163639
se2,30,11.9747937606509
se2,31,9.27631995617725
se2,32,23.4615112534932
se2,33,49.2671682149467
se2,34,25.3242919986417
se2,35,7.70343084632071
se2,36,47.763440345434
se2,37,21.9514032015961
se2,38,13.5562736518617
se2,39,64.9373920093176
se2,40,32.1720994466296
se2,41,57.3826140466214
se2,42,17.6594813468549
se2,43,24.7909278098251
se2,44,15.9269441576796
se2,45,30.3612734983419
se2,46,72.0408635580566
se2,47,20.4619849965105
se2,48,39.3621076776005
se2,49,67.6821496522487
se2,50,15.2818546912358
se2,51,36.7377072861537
se2,52,32.9262661518069
se2,53,28.2710810111554
se2,54,28.5285445842288
se2,55,53.9558852757741
se2,56,30.3675881078043
se2,57,2.05899614846138
se2,58,37.5910767589354
se2,59,35.8312364259657
se2,60,36.6968394735071
se2,61,11.373932726159
se2,62,47.0121329477246
se2,63,73.9137877719328
se2,64,26.2167993700064
se2,65,38.6282682051331
se2,66,4.05344361377847
se2,67,44.4080393582926
se2,68,6.18947567568269
se2,69,15.1552243987818
se2,70,11.74708448418
se2,71,46.9698388251433
se2,72,3.66728052188666
se2,73,18.9517888924085
se2,74,82.4198195017037
se2,75,10.2551809342138
se2,76,55.7704184538458
se2,77,60.1288415443981
se2,78,30.9482998538833
se2,79,57.4425433487989
se2,80,10.8971213631279
se2,81,94.6462243324339
se2,82,47.6420390565367
se2,83,26.36507432571
se2,84,13.891932959665
se2,85,67.520503598576
se2,86,55.8787484016728
se2,87,8.73157632981687
se2,88,44.6444983921707
se2,89,6.3324356068048
